42102,AED,2005,Možnosti využitia simulačného prostriedku EXTEND pre modelovanie výrobných procesov v strojárstve, - 2005.,"[VIRDZEK, Peter (34%) - FEDORKO, Gabriel (33%) - TOMÁŠOVÁ, Daniela (33%)]",0,[]
48353,AED,2005,Opisná a vysvetľujúca funkcia ekvivalenčných zistení pre terminologickú lexikografiu, - 2005.,"[SORGER, Roman (100%)]",0,[]
48552,AED,2005,K niektorým otázkam náboženskej terminológie v ére ekumenizmu, - 2005.,"[MIHÓKOVÁ, Kristína]",0,[]
57219,AED,2006,Utilizing information and communication technologies in the english language acquisition, - 2006.,"[KAŠČÁKOVÁ, Eva (100%)]",0,[]
68823,AED,2006,Vokalické alternácie v radixoch, - 2006.,"[CZÉREOVÁ, Beáta (100%)]",0,[]
67335,AED,2007,Súčasná politika vlády SR pre realizáciu projektov verejno-súkromných partnerstiev na Slovensku, - 2007.,"[BILÁ, Anna (100%)]",0,[]
67863,AED,2007,Architecture of intrusion detection system based on partially ordered events, - 2007.,"[VOKOROKOS, Liberios (15%) - BALÁŽ, Anton (15%) - ÁDÁM, Norbert (10%) - KLEINOVÁ, Alžbeta (10%) - CHOVANEC, Martin (10%) - LÁTKA, Ondrej (10%) - PERHÁČ, Ján (10%) - MADOŠ, Branislav (10%) - IVANČÍK, Peter (10%)]",0,[]
67879,AED,2007,Sampling methods for network monitoring, - 2007.,"[JAKAB, František (10%) - BAČA, Ján (20%) - GIERTL, Juraj (20%) - FECIĽAK, Peter (10%) - KLEINOVÁ, Katarína (10%) - BIŇAS, Miroslav (10%) - MICHALKO, Miroslav (10%) - RÉVÉS, Martin (10%)]",0,[]
69102,AED,2007,Procesy globalizácie a enviromentálna kríza, - 2007.,"[AGAFONOVÁ, Mária (50%) - MELKUSOVÁ, Helena (50%)]",0,[]
72577,AED,2007,Kultúra a identita v modernej Európe, - 2007.,"[DŽUPKOVÁ, Helena (100%)]",0,[]
73228,AED,2007,Medziľudské vzťahy na univerzite, - 2007.,"[PEŠEKOVÁ, Mária (100%)]",0,[]
73364,AED,2007,Sloboda ako nekaždodennosť, - 2007.,"[RÁC, Igor (100%)]",0,[]
74860,AED,2008,Konvergencia ľudského potencionálu a nových technológií v informačnej spoločnosti, - 2008.,"[RAČKOVÁ, Mariana (100%)]",1,"['2008  [4] DŽUPKOVÁ, H.: Význam spoločenských vied v technologickom vzdelávaní. In: Úlohy technologického vzdelávania pri rozvíjaní ľudského faktora vo výrobných technológiách : Zborník recenzovaných vedeckých prác. Košice : TU, 2009. S. 30-33. ISBN 978-80-553-0053-5.']"
76967,AED,2008,Význam spoločemských vied v technologickom vzdelávaní, - 2008.,"[DŽUPKOVÁ, Helena (100%)]",0,[]
76986,AED,2008,"Vzdelanie - ""kameň mudrcov"" pre technologický vek", - 2008.,"[DŽUPKOVÁ, Helena (100%)]",0,[]
80281,AED,2008,Textarbeit im Fremdsprachenunterricht =, - 2008.,"[BICÁKOVÁ, Jana (50%) - SEMANOVÁ, Hedviga (50%)]",0,[]
80633,AED,2008,Rich media delivery, - 2008.,"[JAKAB, František (20%) - BIŇAS, Miroslav (10%) - FECIĽAK, Peter (10%) - GIERTL, Juraj (10%) - JANITOR, Jozef (10%) - KLEINOVÁ, Katarína (10%) - KOHUT, Michal (10%) - MICHALKO, Miroslav (10%) - RÉVÉS, Martin (10%)]",1,"['2013  [1] VOKOROKOS, L. et al. Yet another attempt in user authentication In: Acta Polytechnica Hungarica Vol. 10, no 3 (2013), p. 37-50 ISSN: 1785-8860']"
87779,AED,2008,Sociologické a psychologické hľadiská väzieb kariérneho poradenstva, - 2008.,"[RÁC, Igor (100%)]",0,[]
129986,AED,2009,Skrytá reziliencia, - 2009.,"[JENČOVÁ, Anna (100%)]",0,[]
86174,AED,2009,Humanizácia vzdelávania cestou rozvoja kľúčových kompetencií, - 2009.,"[HREHOVÁ, Daniela (50%) - AGAFONOVÁ, Mária (50%)]",3,"['2010  [4] NAVRÁTILOVÁ, Daniela Etika cnosti ako jeden z predpokladov formovania morálnych kompetencií In: Rozvoj všeobecných kompetencií študentov v podmienkach technologického vzdelávania na Katedre humanitných vied S. 4-10 ISBN: 978-80-553-0467-0', '2011  [4] PRZYBYSZ, Jerzy Niewerbalna komunikacja w edukacji In: K otázke podôb komunikácie v humanitnom vzdelaní na technických vysokých školách : zborník recenzovaných vedeckých prác s medzinárodnou účasťou S. 171-175 ISBN: 978-80-553-0715-2', '2011  [4] PATER-EJGIERD, Natalia Using video and website for education In: K otázke podôb komunikácie v humanitnom vzdelaní na technických vysokých školách : zborník recenzovaných vedeckých prác s medzinárodnou účasťou S. 166-169 ISBN: 978-80-553-0715-2']"
86185,AED,2009,Vzdelanie - trvalo udržateľný rozvoj - mládež - multikulturalita, - 2009.,"[AGAFONOVÁ, Mária (20%) - HREHOVÁ, Daniela (20%) - BEHÚNOVÁ, Vlasta (30%) - MELKUSOVÁ, Helena (30%)]",0,[]
86295,AED,2009,"Školský preventívny program - integrálna súčasť humanizácie vzdelávania, prostriedok rozvoja vysokoškoláka", - 2009.,"[RAČKOVÁ, Mariana (90%) - ZVARIKOVÁ, Mária (10%)]",0,[]
86852,AED,2009,Humanizmus ako sine qua non vysokoškolskej edukácia[!] technologickom veku, - 2009.,"[RAČKOVÁ, Mariana (100%)]",2,"['2010  [4] ROHÁČOVÁ, T.: Metódy aktívneho vyučovania a rozvoj kľúčových kompetencií študentov In: Humanitné vedy a ich význam pri vzdelávaní a rozvoji kľúčových kompetencií študentov vysokých škôl technického zamerania : zborník recenzovaných vedeckých prác s medzinárodnou účasťou k 20.výročiu založenia katedry S. 76-81 ISBN: 978-80-553-0523-3', '2011  [4] HAMŘÍKOVÁ, Viera, HRUŠKOVÁ, Renáta Komunikácia a humanizácia vzdelávania vysokoškolákov prostredníctvom pohybových aktivít In: K otázke podôb komunikácie v humanitnom vzdelávaní na technických vysokých školách S. 67-71 ISBN: 978-80-553-0715-2']"
87242,AED,2009,"Vzdelanie - ""ľudský kapitál"" v technologickom veku", - 2009.,"[DŽUPKOVÁ, Helena (100%)]",0,[]
87777,AED,2009,Kariérové poradenstvo v prevencii nezamestnanosti a sociálnej exklúzie vysokoškolákov, - 2009.,"[RÁC, Igor (100%)]",0,[]
87796,AED,2009,Asertívna komunikácia ako súčasť prípravy vysokoškolského študenta pre prax, - 2009.,"[TKÁČOVÁ, Renáta (100%)]",7,"['2011  [4] ZAHATŇANSKÁ, Mária, ROHÁČOVÁ, Tatiana Humanizácia edukácie cez emocionalizáciu vyučovania In: Humanizácia vzdelávania na Technických univerzitách : zborník vedeckých prác : medzinárodné kolokvium pri príležitosti 20. výročia vzniku Katedry humanitných vied Stavebnej fakulty STU S. 125-131 ISBN: 978-80-227-3530-8', '2011  [4] ZAHATŇANSKÁ, Mária, ROHÁČOVÁ, Tatiana Organizačné formy vyučovania z hľadiska komunikačných možností In: K otázke podôb komunikácie v humanitnom vzdelaní na technických vysokých školách S. 140-144 ISBN: 978-80-553-0715-2', '2011  [4] ZAHATŇANSKÁ, Mária, ROHÁČOVÁ, Tatiana Vzťah pedagóg - študent  a niektoré aspekty pedagogickej komunikácie na vysokej škole In: K otázke podôb komunikácie v humanitnom vzdelaní na technických vysokých školách : zborník recenzovaných vedeckých prác s medzinárodnou účasťou, Prešov S. 135-139 ISBN: 978-80-553-0715-2', '2012  [3] ROHÁČOVÁ, Tatiana, DŽUPKOVÁ, Helena Innovacionnyje napravlenija v rabote kafedry obščestvovedčeskich nauk techničeskogo universiteta v gorode Košice In: Innovacijnyj potencial sociaľno-ekonomičnogo rozvitku Ukrajiny v umovach globalizaciji : Zbirnik naukovich prac Mižnarodnoji naukovo-praktičnoji konferenciji : Vinnica (Ukrajina) - Košice (Slovensko) P. 488-494 ISBN: 978-966-629-579-1', '2013  [4] JENČOVÁ, Anna Podpora potencionalít študentov vo vývinovom kontexte In: Možnosti kultivácie osobnosti v technologickom veku : Zborník recenzovaných vedeckých prác s medzinárodnou účasťou S. 47-55 ISBN: 978-80-553-1344-3', '2013  [4] ROHÁČOVÁ, Tatiana, STEINGARTNER, William Pedagogická komunikácia - faktor kultivácie osobnosti študenta In: Možnosti kultivácie osobnosti v technologickom veku : Zborník recenzovaných vedeckých prác s medzinárodnou účasťou S. 84-92 ISBN: 978-80-553-1344-3', '2012  [3] ROHÁČOVÁ, Tatiana Roľ, tradiciji i buduščeje v prepodavaniji obščestvovedčeskich nauk v techničeskom universitete goroda Košic In: Naukovi zapiski : Vinnickogo deržavnogo pedagogičnogo universitetu imeni Michajla Kocjubinskogo No. 37 (2012), p. 182-186']"
93853,AED,2009,Eine alte Methode im neuen Gewand, - 2009.,"[MIHÓKOVÁ, Kristína (100%)]",0,[]
94670,AED,2009,Interkultúrna komunikácia a jej miesto v lingvistickom výskume, - 2009.,"[KÁŠOVÁ, Martina (50%) - HREHOVÁ, Daniela (50%)]",3,"['2010  [4] PĽUCHTOVÁ, Martina Aspects of humor translation In: Cudzie jazyky, odborná komunikácia a interkultúrne fenomény II : medzinárodná vedecká konferencia. Prešov : 28.01.2010 S. 213-216 ISBN:  978-80-89372-19-5', '2010  [4] ZUBAL, Pavol Poznámky k interakcii interkultúrnej komunikácie a vyučovaniu cudzích jazykov In: Cudzie jazyky, odborná komunikácia a interkultúrne fenomény II : medzinárodná vedecká konferencia : Prešov : 28.01.2010 S. 283 ISBN:  978-80-89372-19-5', '2009  [4] ZUBAL, Pavol Interkultúrny aspekt ako relevantná súčasť budovania cudzojazyčných kompetencií In: Multikulturalita a komunikatívne kompetencie : Zborník príspevkov z vedecko-teoretického swminára : Prešov : 5.11.2009 S. 137-143 ISBN: 978-80-555-0089-8']"
98685,AED,2009,Metamorfózy vzťahu etiky a politiky, - 2009.,"[DŽUPKOVÁ, Helena (100%)]",0,[]
100005,AED,2010,Učebné kompetencie – výzva súčasnej edukácie, - 2010.,"[ROHÁČOVÁ, Tatiana (100%)]",13,"['2010  [4] RAČKOVÁ, M. Kompetencia ""BYŤ"" In: Humanitné vedy a ich význam pri vzdelávaní a rozvoji kľúčových kompetencií študentov vysokých škôl technického zamerania S. 52-75 ISBN: 978-80-553-0523-3', '2010  [4] HRUŠKOVÁ, R. Sociálne poradenstvo a rozvoj kompetencií zamestnanosti u študentov vysokých šôl In: Humanitné vedy a ich význam pri vzdelávaní a rozvoji kľúčových kompetencií študentov vysokých škôl technického zamerania S. 39-44 ISBN: 978-80-553-0523-3', '2011  [4] RAČKOVÁ, Mariana Humánny učiteľ. Rešpektovanie jedinečnosti študenta vysokej školy In: Humanizácia vzdelávania na Technických univerzitách : zborník vedeckých prác : medzinárodné kolokvium pri príležitosti 20. výročia vzniku Katedry humanitných vied Stavebnej fakulty STU : 22.6.2011, Bratislava S. 96-101 ISBN: 978-80-227-3530-8', '2011  [4] HREHOVÁ, Daniela, ŽIARAN, Pavel Inovácie a kreativita pre vysoké školy (s dôrazom na humanizáciu odborného vzdelávania) In: Humanizácia vzdelávania na Technických univerzitách : zborník vedeckých prác : medzinárodné kolokvium pri príležitosti 20. výročia vzniku Katedry humanitných vied Stavebnej fakulty STU : 22.6.2011, Bratislava S. 50-54 ISBN: 978-80-227-3530-8', '2011  [4] HREHOVÁ, Daniela, ŽIARAN, Pavel In todays competitive world communication skills in business are are most sought after quality In: K otázke podôb komunikácie v humanitnom vzdelávaní na technických vysokých školách S. 77-98 ISBN: 978-80-553-0715-2', '2011  [4] HRUŠKOVÁ, Renáta Vzájomné vzťahy rómskeho etnika a majoritnej populácie In: Sociálne posolstvo Jána Pavla 2. pre dnešný svet : Integrácia marginalizovaných skupín do spoločnosti : Zborník z medzinárodnej konferencie : 14. a 15. apríla 2011 S. 192-202 ISBN: 978-80-8084-737-1', '2012  [4] KIRIČUK, Anžela - GAVRILJUK, Anžela Globalizacija jakfaktor stanovlenija sinergetičnoj osvitnoj paradigmi In: Človek v spoločnosti : zborník recenzovaných vedeckých prác s medzinárodnou účasťou S. 121-128 ISBN: 978-80-553-0942-2', '2012  [3] PALAŠČÁKOVÁ, Daniela ECDL jak zasib pidviščenňa kompjuternoji gramotnosti v ramkach deržav ES In: Innovacijnyj potencial sociaľno-ekonomičnogo rozvitku Ukrajiny v umovach globalizaciji : Zbirnik naukovich prac Mižnarodnoji naukovo-praktičnoji konferenciji : Vinnica (Ukrajina) - Košice (Slovensko) P. 173-181 ISBN: 978-966-629-579-1', '2012  [4] HRUŠKOVÁ, Renáta, GLUCHMAN, Martin Global society demands for key competences development in technical education In: Problémy globálnej kultúrnej gramotnosti ako predpoklad uplatnenia absolventa FVT na medzinárodnom trhu práce : Zborník recenzovaných vedeckých prác s medzinárodnou účasťou S. 77-81 ISBN: 978-80-553-1200-2', '2012  [3] KIRIČUK, A. Kompetentnisnij pidchid do navčannja jak faktor vidnovlennja balansu miž osvitoju ta žittjam In: Naukovi zapiski : Vinnickogo deržavnogo pedagogičnogo universitetu imeni Michajla Kocjubinskogo No. 37 (2012), p. 104-108', '2012  [3] PALAŠČÁKOVÁ, D. ECDL jak zasib pidviščennja kompjuternoj gramotnosti v ramkach deržav ES In: Naukovi zapiski : Vinnickogo deržavnogo pedagogičnogo universitetu imeni Michajla Kocjubinskogo No. 37 (2012), p. 178-182', '2012  [6] RAČKOVÁ, Mariana Leadership v ére globalizácie In: Ekonomika a spoločnosť a ich premeny v procese globalizácie : Medzinárodné kolokvium : Zborník vedeckých prác : Bratislava S. 62-67 ISBN: 978-80-227-3827-9', '2014  [4] PALAŠČÁKOVÁ, Daniela - PALAŠČÁK, Dávid Pohľad na úroveň digitálnej gramotnosti v SR In: Technologcké vzdelávanie v sociokultúrnom a enviromentálnom kontexte : zborník recenzovaných vedeckých prác s medzinárodnou účasťou S. 117-121 ISBN: 978-80-553-1808-0']"
100317,AED,2010,Konzeptuelle Nähe in der Techniksprache, - 2010.,"[SORGER, Roman (100%)]",0,[]
100438,AED,2010,Výchovné aspekty environmentálnej etiky pri formovaní aktívneho občianstva, - 2010.,"[AGAFONOVÁ, Mária (20%) - MELKUSOVÁ, Helena (80%)]",0,[]
101072,AED,2010,Osobný plán rozvoja vysokoškoláka, - 2010.,"[RAČKOVÁ, Mariana (100%)]",2,"['2012  [3] ROHÁČOVÁ, Tatiana, DŽUPKOVÁ, Helena Innovacionnyje napravlenija v rabote kafedry obščestvovedčeskich nauk techničeskogo universiteta v gorode Košice In: Innovacijnyj potencial sociaľno-ekonomičnogo rozvitku Ukrajiny v umovach globalizaciji : Zbirnik naukovich prac Mižnarodnoji naukovo-praktičnoji konferenciji : Vinnica (Ukrajina) - Košice (Slovensko) P. 484-494 ISBN: 978-966-629-579-1', '2012  [3] ROHÁČOVÁ, T. Roľ, tradiciji i buduščeje v prepodavaniji obščestvovedčeskich nauk v techničeskom universitete goroda Košic In: Naukovi zapiski : Vinnickogo deržavnogo pedagogičnogo universitetu imeni Michajla Kocjubinskogo No. 37 (2012), p. 182-186']"
103799,AED,2010,Chápanie dobra a zla v islame aj v ponímaní tureckých študentov, - 2010. - 1 elektronický optický disk (CD-ROM).,"[GLUCHMAN, Martin (100%)]",0,[]
103802,AED,2010,Kľúčové kompetencie a schopnosti riadiť svoju kariéru - časť prvá, - 2010.,"[ZVARIKOVÁ, Mária (100%)]",0,[]
103811,AED,2010,Kľúčové kompetencie a schopnosti riadiť svoju kariéru - časť druhá, - 2010.,"[ZVARIKOVÁ, Mária (100%)]",0,[]
103812,AED,2010,Metódy aktívneho vyučovania a rozvoj kľúčových kompetencií študentov, - 2010.,"[ROHÁČOVÁ, Tatiana (100%)]",6,"['2011  [4] ROHAĽOVÁ, Tatiana Rozvoj komunikácie v cudzojazyčnom vzdelávaní na technických školách In: K otázke podôb komunikácie v humanitnom vzdelaní na technických vysokých školách S. 46-50 ISBN: 978-80-553-0715-2', '2011  [4] HAMŘIKOVÁ, Viera, HRUŠKOVÁ, Renáta Komunikácia a humanizácia vzdelávania vysokoškolákov prostredníctvom pohybových aktivít In: K otázke podôb komunikácie v humanitnom vzdelávaní na technických vysokých školách : zborník recenzovaných vedeckých prác S. 67-72 ISBN: 978-80-553-0715-2', '2014  [3] PALAŠČÁKOVÁ, Daniela Innovative processes in education and training In: Internationald Scientific Herald Vol. 8, no. 27 (2014), p. 203-207 ISSN: 2218-5348', '2014  [4] PALAŠČÁK, Dávid , PALAŠČÁKOVÁ, Daniela Spolupráca vysokých škôl s podnikateľským prostredím In: Kvalifikácia pre budúcnosť: zborník recenzovaných vedeckých prác s medzinárodnou účasťou S. 228-234 ISBN: 978-80-553-1838-7', '2014  [4] ZAHATŇANSKÁ, Mária, MAJERNÍKOVÁ, Jana Pedagogická diagnostika ako prostriedok lepšieho poznania žiakov In: Prínos spoločenských vied k rozvoju znalostnej spoločnosti : medzinárodné kolokvium : Bratislava, 2014 S. 147-156 ISBN: 978-80-227-4277-1', '2014  [4] ZAHATŇANSKÁ, Mária Motivácia k učeniu a budúcemu povolaniu ako fenomén uplatnenia v spoločnosti In: Prínos spoločenských vied k rozvoju znalostnej spoločnosti : medzinárodné kolokvium : Bratislava, 2014 S. 137-146 ISBN: 978-80-227-4277-1']"
103815,AED,2010,Ľudská dôstojnosť ako hodnota moslimských študentov, - 2010. - 1 elektronický optický disk (CD-ROM).,"[GLUCHMAN, Martin (100%)]",0,[]
103818,AED,2010,Socálne poradenstvo a rozvoj kompetencií zamestnanosti u študentov vysokých škôl, - 2010.,"[TKÁČOVÁ, Renáta (100%)]",1,"['2012  [4] HREHOVÁ, Daniela Študent - hodnoty - edukácia In: Človek v spoločnosti : Zborník recenzovaných vedeckých prác s medzinárodnou účasťou [CD-ROM] S. 53-66 ISBN: 978-80-553-0942-2']"
103834,AED,2010,Význam aplikovania etiky a morálky do odvetví a odborov technického zamerania, - 2010.,"[GLUCHMAN, Martin (100%)]",0,[]
103836,AED,2010,"Kompetencia ""byť""", - 2010.,"[RAČKOVÁ, Mariana (100%)]",1,"['2012  [4] MATOCHOVÁ, Jana Stres a jeho zvládaní v osobnostně-dispozičním rámci In: Človek v spoločnosti : zborník vedeckých prác s medzinárodnou účasťou S. 139-154 ISBN: 978-80-553-0942-2']"
103855,AED,2010,Humanizmus ako životný postoj, - 2010.,"[DŽUPKOVÁ, Helena (100%)]",0,[]
103859,AED,2010,Vzdelávať humánne a poznatkovo, - 2010.,"[HREHOVÁ, Daniela (100%)]",7,"['2013  [4] SZYJKO, Cezary Tomasz Cultivation of university students´ In: Možnosti kultivácie osobnosti v technologickom veku : zborník recenzovaných vedeckých prác s medzinárodnou účasťou S. 245-250 ISBN: 978-80-553-1344-3', '2011  [4] PATER-EJGIERD, Natalia Using video and website for education In: K otázke podôb komunikácie v humanitnom vzdelaní na technických vysokých školách : zborník recenzovaných vedeckých prác s medzinárodnou účasťou S. 166-169 ISBN: 978-80-553-0715-2', '2011  [4] ROHÁČOVÁ, Tatiana, ZAHATŇANSKÁ, Mária Vzťah pedagóg - študent a niektoré aspekty pedagogickej komunikácie na vysokej škole In: K otázke podôb komunikácie v humanitnom vzdelaní na technických vysokých školách : zborník recenzovaných vedeckých prác s medzinárodnou účasťou S. 135-139 ISBN: 978-80-553-0715-2', '2012  [4] LINDR, Jaroslav Je všeobecné vzdelání v kurikulu tecnické univerzity praktickou nutností nebo jen akademicky žádaným prístupem? In: Problémy globálnej kultúrnej gramotnosti ako predpoklad uplatnenia absolventa FVT na medzinárodnom trhu práce : zborník recenzovaných vedeckých prác s medzinárodnou účasťou S. 108-112 ISBN: 978-80-553-1200-2', '2012  [4] SOKOLOVA, Anastasia Stanislavovna Problematika formorovanija mežkuľturnoj kompetencii In: Problémy globálnej kultúrnej gramotnosti ako predpoklad uplatnenia absolventa FVT na medzinárodnom trhu práce : zborník recenzovaných vedeckých prác s medzinárodnou účasťou S. 129-133 ISBN: 978-80-553-1200-2', '2012  [4] SZYJKO, Cezary Tomasz Edukacja międzykulturowa jako edukacja otwarta In: Problémy globálnej kultúrnej gramotnosti ako predpoklad uplatnenia absolventa FVT na medzinárodnom trhu práce : zborník recenzovaných vedeckých prác s medzinárodnou účasťou S. 134-137 ISBN: 978-80-553-1200-2', '2013  [4] PRZYBYSZ, Jerzy Technology is changing our education In: K otázke hodnotového rozmeru technologického vzdelávania : zborník recenzovaných vedeckých prác s medzinárodnou účasťou. S. 186-189 ISBN: 978-80-553-1469-3']"
103860,AED,2010,Nowe formy komunikacji wspólczesnej w procese edukacji, - 2010.,"[HREHOVÁ, Daniela (90%) - PRZYBYSZ, Jerzy (10%)]",5,"['2011  [4] SZYJKO, Cezary Tomasz Komunikacja w e-learningu a edukacja In: K otázke podôb komunikácie v humanitnom vzdelaní na technických vysokých školách : zborník recenzovaných vedeckých prác s medzinárodnou účasťou S. 176-180 ISBN: 978-80-553-0715-2', '2011  [4] MUCHOVÁ, Mária - PAVOLOVÁ, Henrieta Význam a úlohy komunikácie v procese výučby na vysokých školách In: K otázke podôb komunikácie v humanitnom vzdelaní na technických vysokých školách : zborník recenzovaných vedeckých prác s medzinárodnou účasťou [CD-ROM] S. 98-102 ISBN: 978-80-553-0715-2', '2011  [4] FERENCOVÁ, Martina Komunikácia vybraných vzdelávacích inštitúcií s cieľovými skupinami In: K otázke podôb komunikácie v humanitnom vzdelaní na technických vysokých školách : Prešov, 2011 S. 117-121 ISBN: 978-80-553-0715-2', '2013  [4] SOKOLOVA, Anastasija Плюсы и минусы внедрения новых технологий в университетском образовании In: Sociálne a politické analýzy Roč. 7, č. 1 (2013), s. 370-382 ISSN: 1337-5555', '2013  [4] SOKOLOVA, Anastazia Pros and cons of introducing new technologies into university education In: K otázke hodnotového rozmeru technologického vzdelávania : zborník recenzovaných vedeckých prác s medzinárodnou účasťou S. 190-194 ISBN: 978-80-553-1469-3']"
103975,AED,2010,Možnosti rozvíjania kľúčových kompetencií u študentov vysokých škôl, - 2010.,"[ZAHATŇANSKÁ, Mária (35%) - PORÁČOVÁ, Janka (35%) - RAČKOVÁ, Mariana (30%)]",0,[]
104133,AED,2010,Poznámky k filozofii implementácie informačných a komunikačných technológií do vzdelávania, - 2010.,"[KAŠČÁKOVÁ, Eva (100%)]",0,[]
104140,AED,2010,Využitie IKT v procese rozvoja kľúčových kompetencií študentov vysokých škôl, - 2010.,"[KAŠČÁKOVÁ, Eva (100%)]",0,[]
104314,AED,2010,Types of nonverbal communication in a civil aviation setting, - 2010.,"[GENČÚROVÁ, Andrea (100%)]",0,[]
105203,AED,2010,ESP materials design and development, - 2010. - 1 elektronický optický disk (CD-ROM).,"[PETRIKOVÁ, Ľudmila (50%) - SEMANOVÁ, Hedviga (50%)]",0,[]
105206,AED,2010,Intenzifikácia výučby cudzieho jazyka formou multimediálnych on-line kurzov, - 2010. - 1 elektronický optický disk (CD-ROM).,"[BICÁKOVÁ, Jana (50%) - SEMANOVÁ, Hedviga (50%)]",0,[]
106407,AED,2010,Rozvoj kľúčových kompetencií vysokoškolákov prostredníctvom pohybových aktivít v prírode, - 2010. - 1 elektronický optický disk (CD-ROM).,"[HAMŘIKOVÁ, Viera (100%)]",0,[]
107514,AED,2010,Intenzifikácia výučby cudzích jazykov formou multimediálnych on-line kurzov, - 2010. - 1 elektronický optický disk (CD-ROM).,"[BICÁKOVÁ, Jana (50%) - SEMANOVÁ, Hedviga (50%)]",0,[]
107518,AED,2010,ESP materials design and development, - 2010. - 1 elektronický optický disk (CD-ROM).,"[PETRIKOVÁ, Ľudmila (50%) - SEMANOVÁ, Hedviga (50%)]",0,[]
109301,AED,2010,Kultivovaný jazyk na chvoste záujmov, - 2010. - 1 elektronický optický disk (CD-ROM).,"[HREHOVÁ, Daniela (100%)]",0,[]
115386,AED,2010,Etický rozmer kompetencií v preventívnej a poradenskej praxi, - 2010.,"[RÁC, Igor (100%)]",0,[]
130128,AED,2010,Preventívny princíp v poradenstve - história a perspektíva, - 2010.,"[JENČOVÁ, Anna (100%)]",0,[]
130133,AED,2010,Testové normy škály reziliencie, - 2010.,"[KOMÁRIK, Emil (50%) - JENČOVÁ, Anna (50%)]",0,[]
130134,AED,2010,Reziliencia a zvládanie problémových situácií, - 2010.,"[JENČOVÁ, Anna (80%) - KOMÁRIK, Emil (20%)]",0,[]
